outer_number,gene,coefficient
1,DOCK1,0.09073382525194566
1,MPO,-0.05427406521909668
1,SPINK2,0.022018883498651883
1,IRX1,-0.1909409092404662
1,SLC24A3,-0.019826932610858473
1,IL1R2,0.018708981191635842
1,SYTL4,0.04650383224249487
2,XIST,0.011614247009043017
2,DOCK1,0.23447787131784703
2,DEFA1B,0.01249566826467152
2,CXCL12,-0.07509108938566394
2,PCAT18,-0.16608917759166036
2,THSD7A,-0.14626756246970893
2,UGT3A2,-0.0031056000486133968
2,CPNE8,0.04763186870855262
2,AREG,0.1351194081015124
2,COL1A2,-0.007983734113209053
2,NDST3,-0.003136402917688564
2,IRX1,-0.15890245164507721
2,PTPRM,0.003055906485538887
2,TNNT1,0.12041958160818624
2,GPR12,-0.07837334923536338
3,DOCK1,0.18506930722463122
3,ZNF711,-0.00024369580426176509
3,AREG,0.02987581784019432
3,NDST3,-0.047403648199272876
3,LIN7A,-0.011780282740420693
3,IRX1,-0.18687003328368884
3,IGFBP5,-0.05787707637579116
4,TRH,-0.04126088868476442
4,DOCK1,0.17171633641498277
4,SPAG6,0.13534653998960436
4,CPNE8,0.04488596703574439
4,PAX8-AS1,0.060116169395704105
4,DLK1,-0.04383043040378821
4,PCAT18,-0.017412672632767905
4,AREG,0.04610496588707683
4,MYOF,0.04632811207766217
4,TDRD9,-0.049461466244180054
4,NDST3,-0.04446318886711245
4,IRX1,-0.10002533769385295
4,MPO,-0.11237050788870298
4,C20orf54,0.04321695436398937
4,FBN2,-0.030649474032206216
4,TMEM176B,-0.0744498476749405
4,SLC24A3,-0.040527419557085706
4,IL1R2,0.14931832913784565
5,DOCK1,0.0716157224666109
5,TRH,-0.0033256208888709365
5,AREG,0.12530834239887007
5,NDST3,-0.055105582515259946
5,IRX1,-0.10653835891582679
5,AHSP,-0.08535683710160079
5,SYTL4,0.05192442840964977
5,IL1R2,0.014062232051718224
5,MPO,-0.10303289400909282
6,TRH,-0.04978702905373069
6,DOCK1,0.17208335230472127
6,SPAG6,0.004365185554368541
6,DLK1,-0.07226841753020251
6,CPNE8,0.03015125483190926
6,UGT3A2,-0.019708417122503978
6,IRX1,-0.11141401229154671
6,AREG,0.13532876456277176
6,AHSP,-0.02856275021932575
6,TDRD9,-0.043509987449298605
6,IGFBP5,-0.0075862026743488695
6,CPA3,-0.07714769305138816
6,PACSIN1,0.05319574780423612
6,SYTL4,0.12733574935795083
7,DOCK1,0.10895254477722376
7,CPNE8,0.04336316127281615
7,DLK1,-0.017350342549462404
7,MPO,-0.011138763412070062
7,SPINK2,0.18206150745813704
7,IL1R2,0.0042316896376413254
7,C20orf54,0.003046434161451145
7,SLC28A3,-0.06109690891398133
7,SLC24A3,-0.00885386170277668
8,DOCK1,0.16633893636962893
8,CXCL12,-0.08553356807142629
8,HOXB3,-0.004986208118864682
8,SPAG6,0.11078949335062867
8,MSLN,-0.059573181671005115
8,EREG,-0.12015872006064629
8,AREG,0.13471843930305424
8,ELANE,-0.04037787689838775
8,CPA3,-0.010469556888298957
8,IRX1,-0.24729114494509058
8,CD109,0.0026312944276816225
8,SLC24A3,-0.0432420519550181
8,MYOF,0.003972645113333053
8,NDN,0.0041823615071610405
8,IGLL1,-0.12523993030085775
8,SYTL4,0.10438133358686028
8,LPHN3,0.06528674304034893
8,IGFBP5,-0.042227223397256125
8,FAM171A1,-0.10806835063793228
8,SHD,-0.02021717412285897
8,TNNT1,0.019027152622320246
