repeat,fold,outer_number,model,c_index,selected_alpha,test_n,test_events
1,1,1,Clinical,0.7212475633528265,10.0,35,23
1,1,1,Expression,0.7309941520467836,0.15822421301680498,35,23
1,1,1,Combined,0.723196881091618,0.5,35,23
1,2,2,Clinical,0.6850094876660342,1.0,35,23
1,2,2,Expression,0.6413662239089184,0.09986058828843776,35,23
1,2,2,Combined,0.6888045540796964,0.06302535435745052,35,23
1,3,3,Clinical,0.7140077821011673,10.0,35,23
1,3,3,Expression,0.5992217898832685,0.15822421301680498,35,23
1,3,3,Combined,0.7587548638132295,0.09986058828843776,35,23
1,4,4,Clinical,0.680672268907563,1.0,34,23
1,4,4,Expression,0.6176470588235294,0.09986058828843776,34,23
1,4,4,Combined,0.6659663865546218,0.5,34,23
1,5,5,Clinical,0.674468085106383,10.0,34,22
1,5,5,Expression,0.6276595744680851,0.15822421301680498,34,22
1,5,5,Combined,0.6829787234042554,0.5,34,22
2,1,6,Clinical,0.6367112810707457,0.1,35,23
2,1,6,Expression,0.5946462715105163,0.1256994948014241,35,23
2,1,6,Combined,0.6290630975143403,0.31556670873702364,35,23
2,2,7,Clinical,0.83399209486166,10.0,35,23
2,2,7,Expression,0.541501976284585,0.15822421301680498,35,23
2,2,7,Combined,0.7134387351778656,0.06302535435745052,35,23
2,3,8,Clinical,0.6776061776061776,0.1,35,23
2,3,8,Expression,0.5617760617760618,0.079333151728784,35,23
2,3,8,Combined,0.6756756756756757,0.5,35,23
2,4,9,Clinical,0.7157894736842105,10.0,34,23
2,4,9,Expression,0.5915789473684211,0.15822421301680498,34,23
2,4,9,Combined,0.7136842105263158,0.5,34,23
2,5,10,Clinical,0.6997929606625258,10.0,34,22
2,5,10,Expression,0.5921325051759835,0.025104850996859256,34,22
2,5,10,Combined,0.7060041407867494,0.5,34,22
3,1,11,Clinical,0.822265625,10.0,35,23
3,1,11,Expression,0.7578125,0.15822421301680498,35,23
3,1,11,Combined,0.8046875,0.09986058828843776,35,23
3,2,12,Clinical,0.6666666666666666,0.01,35,23
3,2,12,Expression,0.5992292870905588,0.15822421301680498,35,23
3,2,12,Combined,0.6647398843930635,0.1256994948014241,35,23
3,3,13,Clinical,0.6978557504873294,10.0,35,23
3,3,13,Expression,0.5146198830409356,0.1256994948014241,35,23
3,3,13,Combined,0.6471734892787524,0.05006980316957457,35,23
3,4,14,Clinical,0.6626506024096386,10.0,34,23
3,4,14,Expression,0.6385542168674698,0.15822421301680498,34,23
3,4,14,Combined,0.6546184738955824,0.3972195291882208,34,23
3,5,15,Clinical,0.7149122807017544,1.0,34,22
3,5,15,Expression,0.5855263157894737,0.2506985189439938,34,22
3,5,15,Combined,0.7214912280701754,0.5,34,22
4,1,16,Clinical,0.6019607843137255,1.0,35,23
4,1,16,Expression,0.6137254901960785,0.19916469532623493,35,23
4,1,16,Combined,0.5980392156862745,0.31556670873702364,35,23
4,2,17,Clinical,0.6488095238095238,0.1,35,23
4,2,17,Expression,0.628968253968254,0.1256994948014241,35,23
4,2,17,Combined,0.6825396825396826,0.06302535435745052,35,23
4,3,18,Clinical,0.6043307086614174,0.01,35,23
4,3,18,Expression,0.6141732283464567,0.19916469532623493,35,23
4,3,18,Combined,0.6338582677165354,0.31556670873702364,35,23
4,4,19,Clinical,0.7773359840954275,0.1,34,23
4,4,19,Expression,0.6858846918489065,0.09986058828843776,34,23
4,4,19,Combined,0.7415506958250497,0.5,34,23
4,5,20,Clinical,0.7055084745762712,10.0,34,22
4,5,20,Expression,0.6567796610169492,0.2506985189439938,34,22
4,5,20,Combined,0.6927966101694916,0.5,34,22
5,1,21,Clinical,0.6058700209643606,0.01,35,23
5,1,21,Expression,0.6268343815513627,0.19916469532623493,35,23
5,1,21,Combined,0.6247379454926625,0.19916469532623493,35,23
5,2,22,Clinical,0.7360308285163777,10.0,35,23
5,2,22,Expression,0.6897880539499036,0.2506985189439938,35,23
5,2,22,Combined,0.7052023121387283,0.5,35,23
5,3,23,Clinical,0.6719056974459725,1.0,35,23
5,3,23,Expression,0.581532416502947,0.2506985189439938,35,23
5,3,23,Combined,0.6581532416502947,0.1256994948014241,35,23
5,4,24,Clinical,0.7045908183632734,1.0,34,23
5,4,24,Expression,0.6666666666666666,0.1256994948014241,34,23
5,4,24,Combined,0.7245508982035929,0.31556670873702364,34,23
5,5,25,Clinical,0.7270833333333333,10.0,34,22
5,5,25,Expression,0.5729166666666666,0.1256994948014241,34,22
5,5,25,Combined,0.7208333333333333,0.5,34,22
