gene,selected_folds,median_coef,positive_fraction,eligible_folds,selection_rate,selection_rate_if_eligible
IRX1,24,-0.12863034654091132,0.0,24,0.96,1.0
DOCK1,23,0.13727839359195046,1.0,25,0.92,0.92
AREG,18,0.048552308387808135,1.0,25,0.72,0.72
NDST3,14,-0.035909820519707814,0.0,25,0.56,0.56
IL1R2,13,0.030286045603718705,1.0,16,0.52,0.8125
MPO,13,-0.05427406521909668,0.0,25,0.52,0.52
SLC24A3,10,-0.02495077714376055,0.0,23,0.4,0.43478260869565216
TRH,10,-0.04552395886924755,0.0,25,0.4,0.4
IGFBP5,9,-0.042227223397256125,0.0,25,0.36,0.36
SYTL4,8,0.0542902882020045,1.0,14,0.32,0.5714285714285714
SPAG6,7,0.09691342533138987,1.0,25,0.28,0.28
TNNT1,6,0.05246764006652678,1.0,8,0.24,0.75
PACSIN1,6,0.08141520218660411,1.0,13,0.24,0.46153846153846156
SPINK2,6,0.021682537539596848,1.0,24,0.24,0.25
AHSP,6,-0.040550141280414745,0.0,25,0.24,0.24
CPNE8,6,0.03676495442067397,1.0,25,0.24,0.24
DLK1,5,-0.04383043040378821,0.0,25,0.2,0.2
PCAT18,5,-0.01939071855907455,0.0,25,0.2,0.2
UGT3A2,5,-0.019708417122503978,0.0,25,0.2,0.2
NLRP2,4,0.13888833065003103,1.0,8,0.16,0.5
PTPRM,4,0.05882929857910221,1.0,14,0.16,0.2857142857142857
SLC28A3,4,-0.042478194083608464,0.0,17,0.16,0.23529411764705882
TDRD9,4,-0.07345789373397024,0.0,24,0.16,0.16666666666666666
MYOF,4,0.037657159324569596,1.0,25,0.16,0.16
PTGDS,3,0.11504725334947698,1.0,13,0.12,0.23076923076923078
C20orf54,3,0.02300129207562837,1.0,25,0.12,0.12
CPA3,3,-0.07714769305138816,0.0,25,0.12,0.12
CXCL12,3,-0.07509108938566394,0.0,25,0.12,0.12
DEFA1B,3,0.02037627539917077,1.0,25,0.12,0.12
LPHN3,3,0.06528674304034893,1.0,25,0.12,0.12
PAX8-AS1,3,0.03671319949126207,1.0,25,0.12,0.12
THSD7A,3,-0.044164916872328,0.0,25,0.12,0.12
TMEM176B,2,-0.05731205883688335,0.0,6,0.08,0.3333333333333333
ELN,2,0.04979778474362959,1.0,8,0.08,0.25
RAMP1,2,0.051924566334547756,1.0,10,0.08,0.2
SIX3,2,-0.055942628167190006,0.0,17,0.08,0.11764705882352941
IGLL1,2,-0.07972606071606098,0.0,22,0.08,0.09090909090909091
FAM171A1,2,-0.06917944769885921,0.0,23,0.08,0.08695652173913043
APP,2,-0.6135912457436566,0.0,25,0.08,0.08
AR,2,-0.060726791711036086,0.0,25,0.08,0.08
CD109,2,0.005642466902480142,1.0,25,0.08,0.08
COL1A2,2,-0.03029272951967029,0.0,25,0.08,0.08
HOXB9,2,0.23967625510656893,1.0,25,0.08,0.08
LIN7A,2,-0.027612824553893543,0.0,25,0.08,0.08
MEG3,2,-0.07808449387702499,0.0,25,0.08,0.08
MSLN,2,-0.032268751007331814,0.0,25,0.08,0.08
GPR12,1,-0.07837334923536338,0.0,1,0.04,1.0
LPO,1,-0.04752197287677938,0.0,1,0.04,1.0
ANKRD26P3,1,-0.17387905170038256,0.0,3,0.04,0.3333333333333333
AOX2P,1,0.22727723751887846,1.0,5,0.04,0.2
FBN2,1,-0.030649474032206216,0.0,5,0.04,0.2
PTPN14,1,-0.09432652627132453,0.0,5,0.04,0.2
MS4A3,1,0.2387160860337773,1.0,6,0.04,0.16666666666666666
LTBP1,1,-0.29768610967525316,0.0,7,0.04,0.14285714285714285
FERMT1,1,0.14830719172307794,1.0,9,0.04,0.1111111111111111
PTPRD,1,-0.08592550837395875,0.0,9,0.04,0.1111111111111111
CYP7B1,1,0.05964712982883129,1.0,12,0.04,0.08333333333333333
AADAT,1,0.19328966534043415,1.0,13,0.04,0.07692307692307693
IRX5,1,-0.026553438411887408,0.0,14,0.04,0.07142857142857142
UMODL1,1,0.11404768652748758,1.0,14,0.04,0.07142857142857142
SCUBE1,1,-0.030293851674091935,0.0,15,0.04,0.06666666666666667
PTH2R,1,-0.26108976488200564,0.0,17,0.04,0.058823529411764705
AZU1,1,-0.6888972725696031,0.0,18,0.04,0.05555555555555555
ZNF727,1,-0.17232130849963054,0.0,19,0.04,0.05263157894736842
CEACAM6,1,0.014726475511663615,1.0,22,0.04,0.045454545454545456
PCBP3,1,0.0040452978199418625,1.0,22,0.04,0.045454545454545456
SHANK1,1,-0.0011895555482295086,0.0,22,0.04,0.045454545454545456
CA1,1,0.3880343393007746,1.0,23,0.04,0.043478260869565216
CLEC4E,1,0.07534895819157697,1.0,23,0.04,0.043478260869565216
MARCO,1,-0.023092767336584944,0.0,24,0.04,0.041666666666666664
POU4F1,1,0.04269437386650347,1.0,24,0.04,0.041666666666666664
APOC2,1,-0.0038243634544474258,0.0,25,0.04,0.04
CD300E,1,-0.4587873242294439,0.0,25,0.04,0.04
CD34,1,0.29895667794493197,1.0,25,0.04,0.04
CES1,1,-0.14148353632852156,0.0,25,0.04,0.04
COL4A5,1,-0.2426287259359267,0.0,25,0.04,0.04
CYYR1,1,0.506595007873397,1.0,25,0.04,0.04
DEFB1,1,-0.01575087576721174,0.0,25,0.04,0.04
DNTT,1,-0.2052507347812781,0.0,25,0.04,0.04
DPP10,1,0.09207968578197524,1.0,25,0.04,0.04
ELANE,1,-0.04037787689838775,0.0,25,0.04,0.04
EREG,1,-0.12015872006064629,0.0,25,0.04,0.04
FGD5,1,-0.29045461912468,0.0,25,0.04,0.04
GPC6,1,-0.09310711748793388,0.0,25,0.04,0.04
GSTM1,1,0.1922322566025685,1.0,25,0.04,0.04
GTSF1,1,-0.02008044388273547,0.0,25,0.04,0.04
GYPA,1,-0.00196772479630204,0.0,25,0.04,0.04
H2AFY2,1,0.022183522426481396,1.0,25,0.04,0.04
HBG2,1,0.06557115117711712,1.0,25,0.04,0.04
