permutation,fold,c_index
1,1,0.42338709677419356
1,2,0.5338491295938105
1,3,0.5224489795918368
1,4,0.5795918367346938
1,5,0.5020161290322581
1,mean,0.5122586343453586
2,1,0.59375
2,2,0.5882352941176471
2,3,0.599601593625498
2,4,0.7121212121212122
2,5,0.6357615894039735
2,mean,0.6258939378536662
3,1,0.43159922928709055
3,2,0.44398340248962653
3,3,0.5048169556840078
3,4,0.4867075664621677
3,5,0.5675675675675675
3,mean,0.4869349442980919
4,1,0.5096899224806202
4,2,0.42277992277992277
4,3,0.5593561368209256
4,4,0.48565573770491804
4,5,0.6430062630480167
4,mean,0.5240975965668806
5,1,0.42196531791907516
5,2,0.4981060606060606
5,3,0.41841004184100417
5,4,0.5183673469387755
5,5,0.4533898305084746
5,mean,0.462047719562678
6,1,0.6281800391389433
6,2,0.5441767068273092
6,3,0.5132575757575758
6,4,0.4760914760914761
6,5,0.5690021231422505
6,mean,0.5461415841915109
7,1,0.45627376425855515
7,2,0.4970873786407767
7,3,0.5968063872255489
7,4,0.49203187250996017
7,5,0.540948275862069
7,mean,0.516629535699382
8,1,0.5134099616858238
8,2,0.5670103092783505
8,3,0.4678362573099415
8,4,0.6004016064257028
8,5,0.49173553719008267
8,mean,0.5280787343779803
9,1,0.5138888888888888
9,2,0.6365461847389559
9,3,0.5637065637065637
9,4,0.6127659574468085
9,5,0.4491869918699187
9,mean,0.5552189173302271
10,1,0.4576923076923077
10,2,0.5129740518962076
10,3,0.6023391812865497
10,4,0.3229166666666667
10,5,0.38372093023255816
10,mean,0.45592862755485797
11,1,0.45691382765531063
11,2,0.5731225296442688
11,3,0.48659003831417624
11,4,0.5534979423868313
11,5,0.6234567901234568
11,mean,0.5387162256248088
12,1,0.5399239543726235
12,2,0.552734375
12,3,0.5118110236220472
12,4,0.5365344467640919
12,5,0.3957894736842105
12,mean,0.5073586546885946
13,1,0.49904397705544934
13,2,0.5756385068762279
13,3,0.5411522633744856
13,4,0.5963855421686747
13,5,0.6252676659528907
13,mean,0.5674975910855455
14,1,0.378698224852071
14,2,0.442
14,3,0.5527831094049904
14,4,0.4105691056910569
14,5,0.4279661016949153
14,mean,0.44240330832860675
15,1,0.5245901639344263
15,2,0.5675675675675675
15,3,0.5520628683693517
15,4,0.5630081300813008
15,5,0.6182572614107884
15,mean,0.565097198272687
16,1,0.5393474088291746
16,2,0.5049701789264414
16,3,0.557504873294347
16,4,0.5040983606557377
16,5,0.5157232704402516
16,mean,0.5243288184291904
17,1,0.3699421965317919
17,2,0.49705304518664045
17,3,0.6227722772277228
17,4,0.593186372745491
17,5,0.625
17,mean,0.5415907783383292
18,1,0.4671968190854871
18,2,0.46601941747572817
18,3,0.36699029126213595
18,4,0.4789156626506024
18,5,0.5361050328227571
18,mean,0.4630454446593421
19,1,0.5694716242661448
19,2,0.4930966469428008
19,3,0.6224899598393574
19,4,0.5597609561752988
19,5,0.5134575569358178
19,mean,0.5516553488318838
20,1,0.4657534246575342
20,2,0.4494047619047619
20,3,0.5
20,4,0.5
20,5,0.36767676767676766
20,mean,0.4565669908478128
